2025-04-05 21:52:35,507 - INFO - Current script path: d:\Projects\RL_course\homework1\train.py
2025-04-05 21:52:37,254 - INFO - Starting training with config: {'env': {'name': 'Curling', 'r': 1.0, 'm': 1.0, 'h': 100.0, 'w': 100.0, 'rebound_coefficient': 0.9, 'initial_speed_range': [-10, 10], 'dt': 0.01, 'max_steps': 3000, 'num_steps_per_step': 10, 'initial_act_interval': 1, 'act_interval_decay': 1, 'final_act_interval': 1, 'normalize': False}, 'agent': {'name': 'DQN', 'gamma': 1, 'epsilon': 0.9, 'epsilon_decay': 0.975, 'epsilon_decay_steps': 1, 'epsilon_min': 0.01, 'learning_rate': 0.001, 'learning_rate_decay': 0.95, 'learning_rate_decay_steps': 10, 'learning_rate_min': 5e-06, 'input_dim': 6, 'output_dim': 4, 'actions': [[5, 0], [0, 5], [-5, 0], [0, -5]], 'hidden_dims': [128, 128], 'target_update_interval': 500, 'device': 'cuda', 'input_encoding': False, 'input_encoding_dim': 0}, 'training': {'mode': 'off-policy', 'seed': 1, 'num_episodes': 200, 'batch_size': 4096, 'min_buffer_size': 10240, 'buffer_size': 102400, 'train_interval_steps': 1, 'save_interval': 50, 'log_interval': 1, 'checkpoint_path': './checkpoints/curling/dqn', 'log_path': './logs/curling/dqn'}}
2025-04-05 21:52:38,019 - INFO - Checkpoint save path: D:\Projects\RL_course\homework1\checkpoints\curling\dqn\Curling_DQN_20250405_215238
2025-04-05 21:52:38,019 - INFO - Training started.
2025-04-05 21:52:40,736 - INFO - Episode 29/200: Total Reward: -18591.6322, Avg Loss: 0.0000, Epsilon: 0.4430, Lr: 0.000902, Act Interval: 1
2025-04-05 21:52:40,827 - INFO - Episode 30/200: Total Reward: -22467.7300, Avg Loss: 0.0000, Epsilon: 0.4319, Lr: 0.000902, Act Interval: 1
2025-04-05 21:52:40,919 - INFO - Episode 31/200: Total Reward: -25007.1745, Avg Loss: 0.0000, Epsilon: 0.4211, Lr: 0.000857, Act Interval: 1
2025-04-05 21:52:41,008 - INFO - Episode 32/200: Total Reward: -29271.1753, Avg Loss: 0.0000, Epsilon: 0.4106, Lr: 0.000857, Act Interval: 1
2025-04-05 21:52:41,098 - INFO - Episode 33/200: Total Reward: -23059.4945, Avg Loss: 0.0000, Epsilon: 0.4003, Lr: 0.000857, Act Interval: 1
2025-04-05 21:52:41,187 - INFO - Episode 34/200: Total Reward: -12436.1727, Avg Loss: 0.0000, Epsilon: 0.3903, Lr: 0.000857, Act Interval: 1
2025-04-05 21:52:43,017 - INFO - Episode 35/200: Total Reward: -22636.8702, Avg Loss: 7.1619, Epsilon: 0.3805, Lr: 0.000857, Act Interval: 1
2025-04-05 21:52:45,079 - INFO - Episode 36/200: Total Reward: -14762.5101, Avg Loss: 2.5598, Epsilon: 0.3710, Lr: 0.000857, Act Interval: 1
2025-04-05 21:52:47,286 - INFO - Episode 37/200: Total Reward: -18357.5737, Avg Loss: 0.3273, Epsilon: 0.3618, Lr: 0.000857, Act Interval: 1
2025-04-05 21:52:49,480 - INFO - Episode 38/200: Total Reward: -12725.5533, Avg Loss: 2.6942, Epsilon: 0.3527, Lr: 0.000857, Act Interval: 1
