2025-03-28 23:06:47,894 - INFO - Current script path: d:\Projects\RL_course\homework1\train.py
2025-03-28 23:06:47,894 - INFO - Starting training with config: {'env': {'name': 'Pendulum', 'm': 0.055, 'g': 9.81, 'l': 0.042, 'J': 0.000191, 'b': 3e-06, 'K': 0.0536, 'R': 9.5, 'max_voltage': 3, 'max_speed': 47.12388980384689, 'Ts': 0.005, 'max_steps': 500, 'initial_act_interval': 20, 'act_interval_decay': 0.98, 'final_act_interval': 1}, 'agent': {'name': 'DQN', 'gamma': 0.98, 'epsilon': 0.9, 'epsilon_decay': 0.9, 'epsilon_decay_steps': 1, 'epsilon_min': 0.0001, 'learning_rate': 0.001, 'learning_rate_decay': 0.95, 'learning_rate_decay_steps': 10, 'learning_rate_min': 5e-06, 'input_dim': 2, 'output_dim': 3, 'hidden_dims': [128, 128], 'target_update_interval': 20, 'device': 'cuda', 'actions': [-3, 0, 3]}, 'training': {'seed': 1, 'num_episodes': 200, 'batch_size': 4096, 'min_buffer_size': 10240, 'buffer_size': 102400, 'train_interval_steps': 10, 'save_interval': 50, 'log_interval': 1, 'checkpoint_path': './checkpoints', 'log_path': './logs'}}
2025-03-28 23:06:48,620 - INFO - Checkpoint save path: D:\Projects\RL_course\homework1\checkpoints\Pendulum_DQN_20250328_230648
2025-03-28 23:06:48,620 - INFO - Training started.
2025-03-28 23:06:51,714 - INFO - Episode 31/200: Total Reward: 6.7394, Avg Loss: 0.0035, Epsilon: 0.0382, Lr: 0.000857, Act Interval: 11
2025-03-28 23:06:52,013 - INFO - Episode 32/200: Total Reward: 4.7870, Avg Loss: 0.0042, Epsilon: 0.0343, Lr: 0.000857, Act Interval: 11
2025-03-28 23:06:52,267 - INFO - Episode 33/200: Total Reward: 9.9710, Avg Loss: 0.0051, Epsilon: 0.0309, Lr: 0.000857, Act Interval: 10
2025-03-28 23:06:52,522 - INFO - Episode 34/200: Total Reward: 6.2196, Avg Loss: 0.0059, Epsilon: 0.0278, Lr: 0.000857, Act Interval: 10
2025-03-28 23:06:52,830 - INFO - Episode 35/200: Total Reward: -12.7903, Avg Loss: 0.0060, Epsilon: 0.0250, Lr: 0.000857, Act Interval: 10
2025-03-28 23:06:53,091 - INFO - Episode 36/200: Total Reward: 4.3602, Avg Loss: 0.0061, Epsilon: 0.0225, Lr: 0.000857, Act Interval: 10
2025-03-28 23:06:53,353 - INFO - Episode 37/200: Total Reward: 7.6755, Avg Loss: 0.0062, Epsilon: 0.0203, Lr: 0.000857, Act Interval: 10
2025-03-28 23:06:53,669 - INFO - Episode 38/200: Total Reward: -0.6016, Avg Loss: 0.0067, Epsilon: 0.0182, Lr: 0.000857, Act Interval: 9
2025-03-28 23:06:53,935 - INFO - Episode 39/200: Total Reward: 13.2647, Avg Loss: 0.0073, Epsilon: 0.0164, Lr: 0.000857, Act Interval: 9
2025-03-28 23:06:54,242 - INFO - Episode 40/200: Total Reward: 13.1679, Avg Loss: 0.0066, Epsilon: 0.0148, Lr: 0.000857, Act Interval: 9
2025-03-28 23:06:54,506 - INFO - Episode 41/200: Total Reward: 9.0364, Avg Loss: 0.0078, Epsilon: 0.0133, Lr: 0.000815, Act Interval: 9
2025-03-28 23:06:54,784 - INFO - Episode 42/200: Total Reward: 5.2553, Avg Loss: 0.0082, Epsilon: 0.0120, Lr: 0.000815, Act Interval: 9
2025-03-28 23:06:55,108 - INFO - Episode 43/200: Total Reward: -5.5843, Avg Loss: 0.0082, Epsilon: 0.0108, Lr: 0.000815, Act Interval: 9
2025-03-28 23:06:55,388 - INFO - Episode 44/200: Total Reward: 8.4115, Avg Loss: 0.0082, Epsilon: 0.0097, Lr: 0.000815, Act Interval: 8
2025-03-28 23:06:55,662 - INFO - Episode 45/200: Total Reward: 2.5673, Avg Loss: 0.0073, Epsilon: 0.0087, Lr: 0.000815, Act Interval: 8
2025-03-28 23:06:55,992 - INFO - Episode 46/200: Total Reward: 18.7202, Avg Loss: 0.0075, Epsilon: 0.0079, Lr: 0.000815, Act Interval: 8
2025-03-28 23:06:56,273 - INFO - Episode 47/200: Total Reward: 13.1066, Avg Loss: 0.0079, Epsilon: 0.0071, Lr: 0.000815, Act Interval: 8
2025-03-28 23:06:56,603 - INFO - Episode 48/200: Total Reward: 14.7458, Avg Loss: 0.0079, Epsilon: 0.0064, Lr: 0.000815, Act Interval: 8
2025-03-28 23:06:56,861 - INFO - Episode 49/200: Total Reward: 14.2080, Avg Loss: 0.0072, Epsilon: 0.0057, Lr: 0.000815, Act Interval: 8
2025-03-28 23:06:57,119 - INFO - Episode 50/200: Total Reward: 14.1320, Avg Loss: 0.0074, Epsilon: 0.0052, Lr: 0.000815, Act Interval: 7
2025-03-28 23:06:57,120 - INFO - Checkpoint saved at episode 50, file: D:\Projects\RL_course\homework1\checkpoints\Pendulum_DQN_20250328_230648\checkpoint_50.pth
2025-03-28 23:06:57,436 - INFO - Episode 51/200: Total Reward: 16.0855, Avg Loss: 0.0087, Epsilon: 0.0046, Lr: 0.000774, Act Interval: 7
2025-03-28 23:06:57,720 - INFO - Episode 52/200: Total Reward: 19.4740, Avg Loss: 0.0084, Epsilon: 0.0042, Lr: 0.000774, Act Interval: 7
2025-03-28 23:06:57,991 - INFO - Episode 53/200: Total Reward: 20.8585, Avg Loss: 0.0090, Epsilon: 0.0038, Lr: 0.000774, Act Interval: 7
2025-03-28 23:06:58,315 - INFO - Episode 54/200: Total Reward: 12.4779, Avg Loss: 0.0081, Epsilon: 0.0034, Lr: 0.000774, Act Interval: 7
2025-03-28 23:06:58,594 - INFO - Episode 55/200: Total Reward: 20.1388, Avg Loss: 0.0085, Epsilon: 0.0030, Lr: 0.000774, Act Interval: 7
